Name,ENSEMBL ID,log2FoldChange,p value,p adj
FAM71A,ENSG00000162771,2.02,2.99E-05,7.27E-03
P2RY14,ENSG00000174944,1.98,7.91E-06,1.28E-02
CAB39L,ENSG00000102547,1.65,3.18E-03,6.98E-02
FAM98B,ENSG00000171262,1.60,1.24E-05,1.73E-02
CFAP100,ENSG00000163885,1.57,1.77E-03,8.52E-02
ZFYVE16,ENSG00000039319,1.56,1.24E-05,3.43E-03
MUC16,ENSG00000181143,1.53,8.73E-04,3.76E-02
TNFSF15,ENSG00000181634,1.50,8.12E-04,3.37E-02
GBP5,ENSG00000154451,1.47,5.40E-05,8.13E-03
ERBIN,ENSG00000112851,1.45,1.29E-05,4.13E-03
MUC4,ENSG00000145113,1.37,4.23E-03,8.21E-02
OCLN,ENSG00000197822,1.35,3.38E-04,2.59E-02
TLDC2,ENSG00000101342,1.34,4.18E-04,4.91E-02
PCM1,ENSG00000078674,1.32,2.42E-06,1.12E-03
CLEC12B,ENSG00000256660,1.29,2.84E-03,6.67E-02
EPSTI1,ENSG00000133106,1.27,6.95E-04,3.60E-02
PATL2,ENSG00000229474,1.21,6.39E-07,9.55E-04
DDX60,ENSG00000137628,1.21,8.20E-04,3.61E-02
SGTB,ENSG00000197860,1.20,8.23E-04,3.38E-02
CDHR3,ENSG00000128536,1.15,6.79E-03,9.33E-02
IDO1,ENSG00000131203,1.10,1.92E-03,5.24E-02
BRCA2,ENSG00000139618,1.09,1.05E-03,6.80E-02
BTN3A1,ENSG00000026950,1.08,2.62E-04,3.58E-02
CNNM2,ENSG00000148842,1.08,3.63E-06,6.79E-03
AC021087.5,ENSG00000286001,1.07,6.50E-04,3.93E-02
SNAPC1,ENSG00000023608,1.06,1.57E-03,4.83E-02
SLC23A2,ENSG00000089057,1.06,6.33E-06,6.56E-03
SPTBN1,ENSG00000115306,1.06,1.61E-04,2.93E-02
TGS1,ENSG00000137574,1.05,9.57E-05,2.83E-02
TRPM7,ENSG00000092439,1.05,6.42E-05,9.10E-03
HLA-G,ENSG00000204632,1.04,2.90E-03,7.90E-02
UQCRC2,ENSG00000140740,1.02,1.23E-04,1.26E-02
KY,ENSG00000174611,1.01,2.51E-03,6.42E-02
RIMKLB,ENSG00000166532,1.01,1.90E-04,4.59E-02
CIR1,ENSG00000138433,1.01,3.31E-04,2.28E-02
FAM185A,ENSG00000222011,0.99,2.93E-05,6.50E-03
